id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
4_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_3	C3H5NS	[M + H]+	C3H5NS	Shikimates and Phenylpropanoids	0.5334994792938232	Small peptides	0.19790545105934143	Aminoacids	0.13442780077457428	Organoheterocyclic compounds	0.5008831024169922							Organoheterocyclic compounds	0.5008831024169922	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organonitrogen compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	3
8_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_7	C9H9NO	[M - H2O + H]+	C9H7N	Alkaloids	0.9451698064804077	Tryptophan alkaloids	0.3323483169078827	Simple indole alkaloids	0.21043822169303894	Benzenoids	0.9773344397544861							Benzenoids	0.9773344397544861	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Benzenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	7
10_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_9	C9H8O2	[M - H2O + H]+	C9H6O	Shikimates and Phenylpropanoids	0.9637401103973389	Phenylpropanoids (C6-C3)	0.9739195704460144	Cinnamic acids and derivatives	0.9443804025650024	Cinnamic acids	0.9646731615066528			Cinnamic acids	0.9646731615066528	Cinnamic acids and derivatives	0.7042787075042725	Phenylpropanoids and polyketides	0.881602942943573	Organic compounds; Styrenes; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Cinnamic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Cinnamic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	9
11_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_10	C9H8O	[M + H]+	C9H8O	Polyketides	0.4213041067123413	Naphthalenes	0.09551860392093658	Chalcones	0.05832846090197563	Aryl ketones	0.5523661971092224	Ketones	0.539496660232544	Carbonyl compounds	0.971015989780426	Organooxygen compounds	0.9999966621398926	Organic oxygen compounds	0.9999995231628418	Organic compounds; Ketones; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl ketones; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	10
12_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_11	C9H8O	[M + H]+	C9H8O	Polyketides	0.48726850748062134	Phenylpropanoids (C6-C3)	0.10927604883909225	Cinnamic acids and derivatives	0.07133565098047256	Benzenoids	0.9996131062507629							Benzenoids	0.9996131062507629	Organic compounds; Organooxygen compounds; Carbonyl compounds; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	11
14_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_13	C9H14O	[M + H]+	C9H14O	Terpenoids	0.5493494868278503	Monoterpenoids	0.4308337867259979	Menthane monoterpenoids	0.2610809803009033	Lipids and lipid-like molecules	0.5276639461517334							Lipids and lipid-like molecules	0.5276639461517334	Organic compounds; Lipids and lipid-like molecules; Aldehydes; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	13
15_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_14	C10H9N	[M + H]+	C10H9N	Alkaloids	0.9937678575515747	Tryptophan alkaloids	0.8973775506019592	Simple indole alkaloids	0.6464693546295166	Benzenoids	0.9958418011665344							Benzenoids	0.9958418011665344	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Benzenoids; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	14
16_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_15	C10H9N	[M + H]+	C10H9N	Alkaloids	0.9435956478118896	Tryptophan alkaloids	0.8225841522216797	Simple indole alkaloids	0.47999897599220276	Benzenoids	0.9949506521224976							Benzenoids	0.9949506521224976	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; Benzenoids; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	15
17_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_16	C6H14N2O3	[M - H2O + H]+	C6H12N2O2	Amino acids and Peptides	0.8958232402801514	Small peptides	0.9296668171882629	Aminoacids	0.8185518980026245	Alpha amino acids	0.8273686766624451	Amino acids and derivatives	0.9017373323440552	Amino acids, peptides, and analogues	0.8955990672111511	Carboxylic acids and derivatives	0.9617658257484436	Organic acids and derivatives	0.9735062718391418	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	16
18_Mat_2023_09_04_15_46_27_AlignmentResult_2023_09_17	C9H7NO	[M + H]+	C9H7NO	Alkaloids	0.9995771050453186	Tryptophan alkaloids	0.9813215136528015	Simple indole alkaloids	0.9850338101387024	Indoles	0.9999028444290161			Indoles	0.9999028444290161	Indoles and derivatives	0.9998213648796082	Organoheterocyclic compounds	0.9999955892562866	Organic compounds; Organoheterocyclic compounds; Pyrroles; Aldehydes; Indoles and derivatives; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Substituted pyrroles; Benzenoids; Indoles; Aryl-aldehydes; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	17
